Appendix 3. When Margolus Diffusion=5, public goods production interval=5, public goods diffusion interval=1, and decay rate=0.001, the number of points 
with insufficient public goods every 100 time steps. 

Timestep The number of points with incomplete types of public goods. 
100	0	
200	0	
300	0	
400	0	
500	0	
600	0	
700	0	
800	0	
900	0	
1000	0	
1100	0	
1200	0	
1300	0	
1400	0	
1500	0	
1600	0	
1700	0	
1800	0	
1900	0	
2000	0	
2100	0	
2200	0	
2300	0	
2400	0	
2500	0	
2600	0	
2700	0	
2800	0	
2900	0	
3000	0	
3100	0	
3200	0	
3300	0	
3400	0	
3500	0	
3600	0	
3700	0	
3800	0	
3900	0	
4000	0	
4100	0	
4200	0	
4300	0	
4400	0	
4500	0	
4600	0	
4700	0	
4800	0	
4900	0	
5000	0	
5100	386	
5200	4924	
5300	820	
5400	441	
5500	2375	
5600	899	
5700	1054	
5800	814	
5900	1152	
6000	1158	
6100	1488	
6200	844	
6300	620	
6400	247	
6500	428	
6600	1099	
6700	1395	
6800	1394	
6900	1333	
7000	1570	
7100	1675	
7200	1218	
7300	1308	
7400	1302	
7500	791	
7600	809	
7700	966	
7800	1229	
7900	700	
8000	465	
8100	1203	
8200	867	
8300	717	
8400	509	
8500	1265	
8600	1389	
8700	1257	
8800	1321	
8900	946	
9000	1192	
9100	1498	
9200	695	
9300	1328	
9400	1555	
9500	1287	
9600	1536	
9700	1551	
9800	1392	
9900	1613	
10000	1897	
